扎 zha
么 me
泺 luo
纶 lun
铛 dang
酾 shai
卒 cu
蛸 xiao
拚 pin
魄 bo
落 luo
绿 lv
荨 xun
呆 dai
许 xu
膀 pang
敦 dun
合 he
腊 la
差 cha
圜 huan
柏 bai
奇 qi
掸 dan
孛 bei
丶 zhu
忒 te
龟 gui
熟 shu
瘥 chai
佴 er
露 lu
攒 zan
艹 cao
莩 fu
浚 jun
伯 bo
睥 bi
会 hui
慊 qian
楂 zha
衰 shuai cui
贲 ben bi
繁 po fan
苣 ju qu
削 xue xiao
校 jiao xiao
鞘 qiao shao
咀 ju zui
旁 bang pang
稽 ji qi
蹢 di zhi
瘈 zhi chi
嚓 cha ca
茈 zi ci
食 shi si
恶 wu e
镦 dun dui
弄 nong
核 he hu
单 dan shan
肜 chen rong
络 lao luo
咋 zha ze
综 zeng zong
叨 dao tao
偈 ji jie
期 ji qi
亲 qin qing
裼 ti xi
搒 bang peng
嘏 gu jia
颤 zhan chan
啜 chuai chuo
忪 zhong song
腌 yan a
刨 bao pao
跞 li luo
倞 liang jing
趄 ju qie
朝 zhao chao
谁 shei shui
家 jia jie
驮 duo tuo
肋 le lei
扛 gang kang
剋 ke kei
匙 chi shi
嗌 yi ai
烙 lao luo
咖 ga ka
谷 gu yu
姥 mu lao
亻 dan ren
庳 bei bi
曝 bao pu
铊 ta tuo
契 qi xie
荥 xing ying
徊 huai hui
蹊 qi xi
蹲 dun cun
酢 zuo cu
脯 pu fu
六 liu lu
噱 jue xue
夂 dong yin
伧 chen cang
哪 na nei
鹘 gu hu
茜 qian xi
系 ji xi
靓 liang jing
臭 xiu chou
殖 zhi shi
厦 xia sha
炮 bao pao
的 de di
俩 lia liang
偻 lv lou
阂 he jie
浒 hu xu
畜 xu chu
骠 biao piao
仡 ge yi
埋 mai man
那 na nei
呢 ne ni
覃 tan qin
觜 zi zui
贾 gu jia
缴 jiao zhuo
蔚 yu wei
沓 da ta
貉 hao he
喋 die zha
长 zhang chang
色 shai se
俟 qi si
廴 jue yin
嘿 mo hei
囝 nan jian
溱 qin zhen
栅 zha shan
苕 tiao shao
说 shuo yue
窨 xun yin
菸 yan yu
得 de dei
螫 zhe shi
崴 wai wei
蚌 bang beng
泊 bo po
暴 bao pu
缪 miao mou
模 mo mu
溺 ni niao
氏 zhi shi
屏 bing ping
撮 zuo cuo
遗 yi wei
且 ju qie
叶 xie ye
裨 bi pi
颈 geng jing
犍 jian qian
著 zhu zhuo
率 lv shuai
孖 ma zi
嘬 chuai zuo
朴 piao pu
冒 mao mo
吭 keng hang
焯 zhuo chao
仔 zai zi
猓 luo guo
屯 tun zhun
惝 tang chang
澄 deng cheng
凿 zao zuo
臧 zang cang
革 ge ji
峙 zhi shi
沐 mu shu
荑 ti yi
鹄 gu hu
栖 qi xi
禅 chan shan
埏 shan yan
括 gua kuo
嚼 jue jiao
雀 que qiao
杉 sha shan
莘 xin shen
便 bian pian
卡 ka qia
乾 gan qian
属 zhu shu
瀑 bao pu
炅 gui jiong
见 jian xian
适 kuo shi
丨 gun e
挲 sha suo
唬 hu xia
辗 nian zhan
杓 biao shao
涡 guo wo
夯 ben hang
缩 su suo
繇 zhou you
靦 mian tian
乇 tuo zhe
绰 chao chuo
侥 jiao yao
区 qu ou
秘 bi mi
泷 long shuang
沈 chen shen
於 yu wu
臂 bei bi
堡 bao pu
不 bu dun
铣 xi xian
似 shi si
芾 fei fu
壳 ke qiao
吱 zhi zi
犴 han an
钿 dian tian
乜 mie nie
鬲 li ge
省 xing sheng
丿 pie yu
熨 yun yu
厂 chang an
强 qiang
廑 jin qin
戆 gang zhuang
帱 dao chou
广 guang
矜 guan qin
缉 ji qi
识 zhi shi
呗 bai bei
薄 bao bo
呒 m mu
嘲 zhao chao
咽 yan ye
给 gei ji
价 jia jie
荠 ji qi
剿 jiao chao
铅 qian yan
提 di ti
员 yuan yun
焘 dao tao
褚 zhu chu
兹 zi ci
伺 ci si
着 zhao zhuo
折 zhe she
阽 dian yan
还 huan hai
缲 qiao sao
偲 cai si
怫 fei fu
底 de di
汩 mi gu
伽 ga qie
蜡 la zha
嗯 n ng
拓 ta tuo
盖 gai ge
麇 jun qun
倢 jie qie
脉 mai mo
棱 leng ling
划 hua huai
吤 ge xie
其 ji qi
幢 zhuang chuang
栎 li yue
嚄 huo o
埔 bu pu
卩 dan jie
铫 diao yao
俶 ti chu
殷 yan yin
调 diao tiao
漯 ta luo
枸 gou ju
亟 ji qi
彡 qu san
尿 niao sui
挝 zhua wo
砉 hua xu
陆 liu lu
劲 jin jing
渑 mian sheng
盛 cheng sheng
没 mei mo
弹 dan tan
哼 hng heng
柜 gui ju
嵌 kan qian
召 zhao shao
湫 jiao qiu
拶 za zan
鞔 man men
垌 dong tong
碌 liu lu
嗨 hai hei
歙 xi she
蔓 man wan
吖 ya a
擘 bai bo
都 dou du
咳 ke hai
溃 kui hui
喏 nuo re
餲 he ai
地 de di
吓 he xia
仇 qiu chou
摄 nie she
邪 xie ye
喁 yong yu
乘 cheng sheng
氵 shui san
阿 a e
氓 mang meng
丬 pan jiang
券 quan xuan
丁 ding zheng
脚 jue jiao
重 zhong chong
楱 zou cou
隽 juan jun
洗 xi xian
颉 jie xie
查 zha cha
汤 tang shang
奘 zhuang zang
疟 nue yao
牟 mou mu
楷 kai jie
薙 ti zhi
揲 tie she
曾 zeng ceng
吁 xu yu
了 le liao
纥 ge he
骑 ji qi
珵 ting cheng
爪 zhua zhao
喳 zha cha
赚 zhuan zuan
尾 yi wei
泌 bi mi
摩 ma mo
崚 leng ling
飂 liao liu
亡 wang wu
拗 niu ao
顿 dun du
解 jie xie
石 dan shi
蝤 qiu you
纤 qian xian
漦 li chi
刹 cha sha
囗 guo wei
扁 bian pian
麽 ma mo
蚵 ke he
粘 nian zhan
镐 gao hao
氿 gui jiu
骰 tou shai
椹 zhen shen
侧 zhai ce
欸 ai e
夹 ga jia
虹 hong jiang
传 zhuan chuan
奀 di en
磅 bang pang
糜 mei mi
大 da dai
嘘 xu shi
扌 ti shou
拆 chai ca
嗒 da ta
佃 dian tian
珲 hun hui
桔 jie ju
轧 ga ya
欻 xu chua
琢 zhuo zuo
耙 ba pa
度 du duo
呔 dai tai
戏 hu xi
莎 sha suo
桧 gui hui
俞 shu yu
哦 e o
呐 na ne
尺 che chi
乐 le yue
圩 xu wei
和 he huo
这 zhe zhei
玟 min wen
刂 dao li
咯 lo ka
虾 ha xia
僮 tong zhuang
啁 zhao zhou
藏 zang cang
宿 xiu su
硌 luo ge
血 xue xie
倘 tang chang
钥 yue yao
蕴 yun wen
佛 fo fu
褪 tun tui
帑 tang nu
塞 sai se
湮 yan yin
唔 n ng
诘 ji jie
掟 ding zheng
葚 shen ren
澹 dan tan
犭 fan quan
呵 he a
捋 lv luo
勹 bao kui
红 gong hong
句 gou ju
圈 juan quan
约 yue yao
娜 na nuo
峤 jiao qiao
拽 zhuai ye
髟 bian shan
鸟 diao niao
蛤 ge ha
行 hang xing
车 ju che
糁 shen san
钯 ba pa
巷 hang xiang
孱 chan can
参 shen cen
呱 gua gu
郇 huan xun
椎 zhui chui
巛 chuan shun
峒 dong tong
枞 zong cong
龈 ken yin
钭 dou tou
坻 di chi
迫 pai po
潦 lao liao
疋 pi ya
艾 yi ai
喔 wo o
町 ding ting
觉 jue jiao
术 zhu shu
蓂 mi ming
柁 duo tuo
咥 die xi
柞 zha zuo
陶 tao yao
抹 ma mo
翟 di zhai
择 zhai ze
番 pan fan
灬 biao huo
数 shu shuo
昳 die yi
掴 guai guo
阚 kan han
芥 gai jie
辟 bi pi
角 jue jiao
浅 jian qian
楯 dun shun
芫 yuan yan
读 dou du
咁 gan xian
县 xuan xian
隗 kui wei
诶 e ei
剥 bao bo
彷 pang fang
囤 dun tun
藉 ji jie
降 jiang xiang
万 mo wan
槟 bin bing
扒 ba pa
否 pi fou
颌 ge he
寻 xun xin
尉 yu wei
卜 bo bu
胖 pan pang
侗 dong tong
茄 jia qie
什 shen shi
筠 jun yun
陂 bei po
玢 bin fen
勒 le lei
